State,Account length,Area code,International plan,Number vmail messages,Total day minutes,Total day calls,Total eve minutes,Total eve calls,Total night minutes,Total night calls,Total intl minutes,Total intl calls,Customer service calls
ND,105,415,0,23,193.5,85,220.2,90,272.4,111,8.5,5,0
NV,71,415,1,0,178.2,113,167.8,94,182.1,111,13.6,3,3
FL,132,510,0,36,226.2,103,181.6,125,258.8,102,10.5,5,3
MD,112,415,0,0,170.4,103,200.2,71,258.3,100,11.6,4,1
AL,41,510,0,34,194.4,63,254.9,110,160.2,115,17.2,9,2
NE,44,415,0,0,240.3,146,164.6,83,240.7,106,10.6,2,1
NV,78,408,0,0,75.0,116,248.7,87,176.0,83,9.5,6,3
IL,149,408,0,0,69.1,117,136.3,100,181.7,53,6.3,3,1
WV,72,510,0,33,96.6,59,315.4,98,163.3,117,6.2,4,4
AR,74,510,0,0,148.5,111,146.5,42,289.2,83,9.9,6,3
UT,50,510,0,0,258.1,106,161.4,106,225.1,110,11.7,5,1
GA,141,510,0,23,149.7,112,162.5,118,220.3,115,7.6,2,3
AZ,140,408,0,0,149.8,134,164.4,98,294.7,124,8.1,2,1
ID,99,408,0,0,190.4,102,158.1,107,271.5,92,11.2,4,2
HI,166,408,0,0,181.4,108,253.8,54,112.3,94,11.6,6,1
MD,74,415,0,0,155.7,116,173.7,63,257.4,97,8.1,4,0
GA,117,510,0,0,149.9,95,256.1,110,212.7,92,13.3,13,2
GA,85,510,0,0,222.3,132,231.5,101,223.5,75,11.0,2,3
UT,36,415,0,16,149.4,111,131.8,113,132.7,87,6.7,2,0
IN,76,415,0,0,204.2,100,292.6,139,244.3,105,10.5,2,0
VT,165,510,0,0,242.9,126,209.8,65,228.4,126,0.0,0,1
IA,130,415,0,0,150.4,119,230.5,99,186.3,76,12.3,4,1
ME,92,415,1,0,130.7,113,260.6,122,244.2,98,9.4,2,2
MD,18,408,0,0,273.6,93,114.6,116,250.6,120,8.2,4,1
FL,161,415,1,0,156.1,114,180.3,63,179.6,115,11.1,9,2
CA,93,415,0,36,178.7,134,178.6,102,126.8,82,8.0,4,2
AL,144,415,0,0,177.5,93,287.4,75,180.5,118,11.9,3,2
WV,95,415,0,0,175.2,91,244.4,109,75.8,95,7.5,2,1
FL,124,415,0,28,251.4,104,225.1,89,251.9,121,7.5,5,1
MI,93,415,1,0,216.9,61,207.4,120,221.7,110,17.5,5,1
MI,109,415,1,26,217.2,138,145.5,111,280.7,76,9.3,3,0
NM,80,510,0,0,206.3,97,154.9,98,263.6,82,12.4,12,0
AK,41,415,0,0,159.3,66,125.9,75,261.9,76,11.1,5,1
OH,136,415,0,31,143.1,88,236.6,65,227.8,120,11.4,5,2
KS,143,408,0,24,186.6,69,222.0,116,234.9,138,11.6,5,1
MS,118,415,0,26,170.8,114,199.5,125,169.7,98,9.6,5,5
VT,193,408,0,17,124.0,102,202.9,81,205.1,129,12.3,3,1
NE,73,415,0,0,198.3,94,279.3,101,146.2,87,14.8,8,3
VA,62,408,0,0,172.8,101,204.8,97,240.8,90,9.1,8,2
DE,30,415,0,30,217.4,74,213.8,86,227.2,104,6.6,3,0
AL,60,408,1,29,265.9,113,215.8,94,108.1,82,14.0,12,0
ID,148,510,0,14,93.6,137,193.8,72,144.9,84,17.5,5,1
MS,96,510,0,0,98.2,100,307.2,88,182.5,120,7.6,1,2
NM,87,415,0,0,168.2,92,224.7,100,169.5,99,12.9,3,1
WI,41,408,0,0,202.9,97,153.8,104,113.5,92,9.0,3,3
WV,112,415,0,0,261.4,108,154.5,102,130.9,90,11.6,2,1
SC,88,510,0,0,73.3,86,161.4,82,239.6,76,8.2,3,4
KY,122,408,0,27,253.7,84,229.2,109,190.5,123,9.2,5,7
MO,61,408,0,0,45.0,108,151.3,74,152.9,94,9.8,6,2
OK,176,408,0,0,47.4,125,167.8,90,163.1,107,10.5,8,2
MI,30,510,0,0,227.4,88,182.5,100,191.7,134,12.5,3,0
ID,46,415,0,0,124.8,133,157.3,143,199.3,72,8.6,4,2
DC,100,510,1,0,68.5,110,337.1,115,205.2,99,12.1,9,0
NY,47,415,0,37,163.5,77,203.1,102,232.0,87,7.8,4,2
AL,77,415,0,0,163.0,112,219.1,89,233.4,66,6.7,3,2
OR,98,415,0,38,213.7,61,253.0,104,207.7,73,10.7,5,2
OK,125,415,0,36,201.3,117,42.2,78,125.7,104,5.4,3,1
NE,194,408,0,0,48.4,101,281.1,138,218.5,87,18.2,1,1
TX,128,415,0,40,171.2,88,145.7,109,196.8,93,14.0,6,1
UT,190,415,0,22,166.5,93,183.0,92,121.0,102,8.5,3,0
NY,59,408,0,0,107.8,113,216.6,125,217.5,92,9.9,3,2
AL,47,408,0,28,141.3,94,168.0,108,113.5,84,7.8,2,1
MN,152,415,1,20,237.5,120,253.4,94,265.2,80,14.2,3,9
RI,95,510,0,27,129.5,106,248.9,90,268.0,115,11.9,3,1
CT,31,415,0,31,100.1,54,246.3,97,255.0,131,5.9,3,0
OK,121,408,0,31,237.1,63,205.6,117,196.7,85,10.1,5,4
AK,111,415,0,0,172.8,58,183.1,108,158.8,104,7.9,3,4
GA,44,510,0,0,288.1,112,258.0,92,192.4,90,10.2,4,3
UT,61,510,1,0,78.2,103,195.9,149,108.0,100,10.1,6,2
NM,65,415,0,0,148.7,80,259.0,94,149.5,107,12.7,6,2
NE,74,415,0,25,194.6,84,119.9,103,175.5,75,13.1,2,2
NJ,123,408,0,0,159.5,77,303.8,92,226.9,120,12.0,4,0
TX,58,408,0,20,194.5,110,213.7,89,236.6,92,9.5,2,1
MT,74,408,0,0,174.1,96,251.1,94,257.6,123,8.3,5,2
CO,125,415,0,0,131.8,97,136.7,100,308.2,119,7.7,6,2
RI,53,408,0,18,146.8,107,310.0,84,178.7,130,7.2,7,0
WY,99,408,0,28,200.7,88,264.2,116,172.7,102,9.1,5,1
ID,99,415,0,0,145.6,106,98.3,106,230.8,83,10.9,5,1
CT,66,415,0,29,229.4,104,257.4,84,231.5,119,8.0,1,2
ME,97,510,0,0,211.0,76,189.0,100,123.0,102,4.7,4,3
MD,85,510,1,0,216.0,73,188.2,117,147.1,98,3.6,7,2
IN,108,510,0,0,293.0,88,160.6,101,143.9,87,10.0,6,2
NC,133,408,1,32,221.1,137,264.9,99,168.9,108,15.4,4,2
DE,51,510,0,0,181.5,108,196.9,87,187.2,119,10.3,2,1
MN,186,415,0,26,74.3,107,177.3,116,296.3,90,14.5,3,2
WI,44,415,1,0,62.3,92,275.0,82,138.7,108,10.8,3,1
FL,64,408,0,31,228.6,88,248.5,109,167.1,124,9.0,1,3
SD,114,415,0,36,309.9,90,200.3,89,183.5,105,14.2,2,1
FL,92,415,0,0,201.9,74,226.8,119,217.5,80,13.7,6,3
OR,110,408,0,0,149.8,112,180.0,93,140.0,119,11.7,4,2
CO,90,408,0,30,183.8,76,229.7,95,144.1,124,7.7,3,1
CT,72,408,0,21,186.7,108,335.0,86,187.2,119,16.5,4,1
IN,113,415,0,0,209.4,151,347.3,113,246.0,116,7.4,2,1
PA,171,415,0,25,223.2,77,183.2,118,150.8,90,10.2,3,3
NM,104,415,0,0,164.2,109,155.4,90,168.9,117,10.7,8,1
ME,165,408,0,0,150.5,75,193.1,93,311.6,93,10.3,2,1
SD,104,510,0,0,234.2,128,293.1,92,183.9,79,9.8,6,0
AR,110,408,0,0,55.3,102,164.7,124,200.7,108,10.2,5,1
TX,90,408,1,0,221.8,97,203.8,134,215.8,154,8.4,4,1
NH,114,415,0,0,169.6,85,58.9,86,179.3,124,7.4,8,1
AL,109,408,0,0,218.9,105,299.9,87,158.6,110,11.3,4,2
OK,92,510,0,0,176.3,85,93.4,125,207.2,107,9.6,1,2
ME,82,510,0,29,207.2,111,254.1,137,169.3,92,9.5,5,2
WV,90,415,0,0,205.7,138,161.9,83,269.7,104,12.5,6,2
HI,87,408,0,28,151.4,95,152.4,97,250.1,109,0.0,0,1
MN,124,510,0,0,157.5,70,130.7,79,193.4,98,9.6,4,3
AZ,84,415,0,0,159.0,80,167.9,128,167.6,101,12.3,5,1
OH,75,510,0,46,214.1,62,200.9,111,246.8,126,9.2,6,0
MI,102,510,0,0,102.6,89,246.0,77,170.5,140,9.1,4,2
MA,62,415,1,0,159.7,86,197.5,76,121.6,105,13.9,6,0
WV,143,510,0,0,202.8,109,165.8,104,143.9,71,4.6,4,1
MI,53,415,0,0,57.5,95,265.5,131,244.3,128,11.6,6,3
MO,112,415,0,0,335.5,77,212.5,109,265.0,132,12.7,8,2
RI,129,415,0,0,139.5,119,289.3,105,129.4,97,13.1,8,0
WY,28,415,0,0,187.8,94,248.6,86,208.8,124,10.6,5,0
KY,90,415,0,0,193.7,83,154.2,79,299.0,60,12.7,3,1
OR,151,510,0,0,156.4,108,233.4,118,195.7,141,7.7,6,4
DC,41,408,0,37,239.8,110,221.9,115,189.1,100,7.3,1,2
UT,48,510,0,43,172.0,111,200.2,64,233.1,96,8.0,5,1
VA,153,510,0,0,195.4,107,154.6,96,142.8,97,11.6,6,1
KS,110,415,1,0,293.3,79,188.5,90,266.9,91,14.5,4,0
KS,163,415,0,0,191.3,89,193.9,87,268.4,121,12.8,4,1
DC,126,510,0,0,122.4,88,143.8,111,157.0,106,11.5,3,1
DC,126,415,0,0,161.4,110,220.6,125,249.2,78,5.1,2,0
TX,97,510,0,0,144.2,91,226.7,137,144.6,72,13.8,4,3
NJ,95,408,1,37,220.2,109,185.3,99,205.1,82,4.1,2,0
DE,87,510,0,0,256.2,105,160.7,102,249.4,80,7.4,2,4
VT,97,415,0,0,112.7,119,217.7,109,152.1,76,6.5,5,1
GA,76,415,0,0,299.5,125,226.7,92,210.7,134,13.7,4,0
TX,140,408,0,0,194.8,107,170.9,99,225.1,93,13.9,4,0
MT,169,415,0,0,100.8,112,230.0,69,193.6,95,9.5,2,0
ND,68,408,0,22,82.5,97,289.9,94,180.0,114,4.8,4,3
NJ,122,415,0,34,146.4,104,89.7,103,220.0,91,15.6,4,2
MO,36,408,0,0,177.9,129,224.6,87,306.3,102,10.8,6,2
CO,120,510,0,27,153.5,84,194.0,73,256.5,94,10.2,7,5
NC,64,408,0,19,180.1,106,127.5,92,237.4,118,7.5,3,0
MT,13,415,0,31,265.3,94,147.6,95,259.3,117,12.9,1,1
DE,106,415,0,0,128.6,83,134.0,114,210.6,113,11.4,2,0
VA,74,408,0,0,165.3,120,198.5,106,208.5,102,9.8,3,1
IL,83,415,0,0,195.0,92,210.5,83,180.6,92,11.0,13,0
OK,49,415,0,0,213.8,79,265.1,93,239.8,128,15.6,7,0
CO,111,510,0,24,205.5,114,219.3,99,215.9,95,14.0,4,1
MT,50,415,0,22,252.9,112,177.9,99,158.4,146,8.5,4,3
ME,88,415,0,0,192.0,91,127.6,127,155.6,125,7.5,5,1
WI,131,415,0,39,69.1,122,101.3,136,104.8,94,9.1,4,0
MO,79,408,0,0,261.7,97,210.6,48,256.7,83,6.0,3,3
NY,140,415,0,0,235.5,81,257.2,130,103.1,111,11.5,4,2
CT,105,408,0,0,213.4,100,204.9,52,179.7,93,9.5,6,1
WY,87,415,0,22,263.8,65,103.4,115,208.1,109,8.5,3,3
CA,96,510,0,31,183.4,126,195.5,106,180.1,93,10.5,5,1
AK,130,415,0,0,242.5,101,102.8,114,142.4,89,9.3,2,2
VA,34,415,0,0,151.0,102,131.4,101,186.6,86,9.9,7,0
CO,139,415,0,0,138.1,103,164.5,100,134.9,63,8.3,2,1
NE,63,415,0,0,211.2,80,237.7,93,259.2,58,12.3,2,0
VT,152,415,0,0,197.1,126,130.1,76,78.1,100,7.4,4,3
ND,147,408,0,0,205.3,95,166.7,128,240.6,84,7.8,4,1
GA,112,415,0,22,181.8,110,228.1,123,262.7,141,9.2,4,2
OR,120,415,0,0,252.0,120,150.2,106,151.8,96,9.6,1,2
WY,171,415,0,0,231.2,135,188.7,74,206.9,124,12.3,1,1
GA,101,415,0,33,200.1,108,188.9,122,205.1,90,15.5,4,0
IL,151,408,0,0,175.3,106,144.3,87,160.2,88,11.8,5,0
CO,60,408,0,0,125.1,99,248.8,62,211.3,79,11.2,3,3
MA,42,408,0,0,241.2,134,116.5,114,152.2,91,10.6,4,0
IN,84,408,0,0,217.1,99,236.0,68,118.3,120,9.4,4,1
NY,65,510,0,0,195.4,110,181.2,109,178.5,105,8.9,4,0
TX,75,415,1,0,222.4,78,327.0,111,208.0,104,8.7,9,1
NE,189,415,0,38,256.7,98,150.5,120,123.0,87,11.4,3,3
CO,63,415,0,32,30.9,113,187.0,113,230.8,101,8.6,7,1
SC,108,510,0,0,187.4,101,199.9,126,216.1,107,12.6,8,1
CO,71,415,0,0,277.5,104,131.8,121,126.9,101,8.2,2,1
MS,137,510,0,0,147.2,119,192.8,91,172.7,105,10.2,4,1
NE,82,408,0,0,185.8,36,276.5,134,192.1,104,5.7,7,4
MT,96,415,0,0,97.6,98,105.5,118,220.2,105,11.6,9,1
NH,37,415,0,0,206.0,89,186.0,88,307.1,86,8.4,11,0
IA,98,415,0,0,216.8,86,190.8,114,187.5,79,11.0,9,0
WV,121,415,0,0,103.3,110,129.1,82,167.1,113,10.7,3,0
RI,94,415,0,0,139.4,95,159.1,92,128.2,129,7.7,3,0
KS,99,415,0,0,191.2,110,163.9,102,243.6,114,14.1,3,1
MT,163,510,0,23,160.0,104,189.4,64,229.9,118,10.4,7,1
MO,161,510,0,0,221.7,95,193.0,82,194.1,113,6.5,4,3
HI,99,415,0,0,62.9,81,231.0,64,168.9,121,8.5,5,1
CO,108,415,0,0,215.6,78,195.3,119,194.4,65,3.6,5,1
CT,84,510,0,42,165.3,97,223.5,118,260.8,72,7.6,7,3
DC,139,510,0,0,203.2,81,152.5,99,197.8,76,9.7,3,2
TN,69,510,0,0,195.3,70,216.7,108,259.9,119,12.5,4,3
WY,129,510,0,0,143.7,114,297.8,98,212.6,86,11.4,8,4
MO,106,415,0,0,114.4,104,78.3,101,232.7,78,0.0,0,2
SD,168,415,0,22,175.9,70,211.7,105,174.5,81,7.3,5,2
GA,57,408,1,30,234.5,130,195.2,116,268.8,94,11.4,4,2
AZ,67,415,0,0,210.7,116,219.2,86,179.7,83,7.2,6,1
AK,127,408,0,0,182.3,124,169.9,110,184.0,116,9.3,3,1
AK,78,510,0,0,190.3,88,194.5,89,256.5,109,11.7,5,2
CT,100,415,0,38,177.1,88,163.7,108,242.7,72,7.4,2,0
KY,113,415,0,0,215.6,96,193.4,127,105.4,115,13.5,3,1
MI,78,510,0,0,137.4,109,237.6,49,206.7,136,14.0,11,3
OR,129,510,0,36,192.8,103,177.0,83,216.5,118,16.4,5,1
TN,57,510,0,0,149.3,100,200.2,110,231.7,101,11.9,3,2
WV,82,408,0,0,143.7,116,170.7,99,287.7,95,7.8,5,1
WY,94,510,0,0,271.2,105,202.6,105,221.6,51,11.5,3,3
WY,90,415,0,0,207.2,121,292.5,104,226.3,103,8.0,1,2
IN,48,510,0,0,300.4,94,133.2,103,197.4,94,7.2,5,2
NM,85,408,0,37,229.6,123,132.3,90,211.9,76,9.5,8,2
NJ,93,415,1,20,187.5,110,169.8,94,175.3,127,12.1,4,1
DC,169,415,1,0,57.1,98,199.7,78,274.7,103,6.5,6,3
UT,68,415,0,0,162.1,86,155.0,86,189.7,87,11.0,9,5
KY,91,415,1,0,145.0,89,175.8,102,223.7,151,16.7,3,2
KS,68,510,0,0,159.5,123,240.8,93,210.3,76,11.4,3,1
MI,101,510,0,0,190.7,72,208.6,103,203.8,111,8.8,8,1
UT,67,510,0,20,230.6,40,189.1,58,162.2,115,9.4,2,1
NE,66,415,0,0,34.0,133,278.6,61,129.6,120,11.5,3,0
FL,116,415,0,17,193.4,112,240.6,131,248.1,98,11.4,3,5
LA,158,408,0,0,202.0,126,163.5,86,195.4,84,10.4,6,1
MT,78,415,0,0,191.7,122,241.4,88,203.5,86,9.1,5,1
WA,119,415,0,26,161.3,97,250.3,110,142.4,92,6.6,8,1
MI,120,415,0,0,150.6,85,119.0,128,232.9,123,6.4,2,1
KY,155,510,0,0,184.6,102,196.0,117,226.5,122,7.8,1,1
LA,106,408,0,0,220.7,120,270.2,95,121.6,113,8.7,5,1
AL,146,415,0,32,154.0,80,185.5,91,148.2,107,8.2,4,3
MO,101,415,0,29,121.1,116,186.4,100,241.7,75,10.1,6,0
CO,22,510,0,23,182.1,94,164.6,59,128.8,102,12.7,4,3
NY,41,415,0,0,209.9,105,121.9,105,253.7,104,9.6,4,1
OR,69,415,0,0,167.5,76,242.1,92,101.2,103,11.4,4,2
WY,33,415,0,0,213.9,88,239.8,119,148.7,71,9.8,14,2
UT,112,415,0,0,115.8,108,243.3,111,184.6,78,13.1,5,1
NV,136,415,0,21,179.4,88,181.1,97,320.7,120,9.5,4,2
NC,128,510,0,0,187.3,84,270.8,95,206.4,68,10.1,5,1
NC,27,408,0,0,201.2,128,227.2,100,145.8,91,8.4,3,2
WY,161,415,1,0,189.6,78,267.4,117,184.5,137,1.3,6,1
FL,120,415,0,31,153.5,83,219.1,96,237.4,76,11.4,4,0
CA,113,415,0,0,187.6,97,208.2,118,158.9,101,8.7,6,2
PA,122,415,1,0,230.9,132,243.2,99,182.4,57,11.0,2,0
WV,148,415,0,26,244.9,150,118.0,138,236.0,91,15.2,4,2
NJ,74,415,0,0,230.9,93,223.0,78,157.8,101,9.7,2,3
MT,106,415,0,0,187.1,104,250.2,117,144.9,81,11.0,3,1
MN,179,415,0,0,170.7,54,191.1,108,214.6,107,13.3,4,1
ID,77,510,0,0,189.5,112,207.0,95,214.1,91,9.2,7,0
MA,127,408,1,0,176.9,110,167.9,100,182.2,138,7.7,2,1
OR,80,415,0,0,161.1,99,198.8,81,228.4,116,10.6,4,1
AL,61,415,0,20,254.4,133,161.7,96,251.4,91,10.5,4,0
ND,135,510,1,24,127.7,54,215.0,105,234.3,84,5.8,4,2
LA,115,415,0,26,170.5,107,217.2,77,225.7,71,13.6,5,6
MS,107,510,1,0,273.5,104,183.8,68,153.8,67,11.0,9,2
WV,112,415,1,0,161.9,138,200.9,114,134.0,134,10.7,4,1
KS,103,408,1,0,62.8,124,170.4,66,280.2,78,9.4,4,3
PA,69,415,0,0,228.2,70,263.7,80,142.6,60,10.7,5,3
SD,85,408,0,0,209.8,82,194.5,94,200.4,85,11.3,3,0
NJ,24,408,0,0,265.6,86,208.8,102,182.5,105,11.1,6,2
AL,90,415,0,0,214.9,97,117.8,117,133.7,78,11.8,2,2
ME,137,510,0,0,110.5,79,223.2,111,169.5,64,10.5,3,3
NV,69,510,1,33,271.5,98,253.4,102,165.4,85,8.2,2,1
WI,45,408,0,0,112.8,108,218.8,120,240.2,106,9.0,3,2
HI,73,408,0,0,187.3,118,239.7,90,167.5,108,15.1,2,1
DE,92,415,0,0,197.0,84,269.3,105,158.9,105,10.8,4,1
AZ,113,415,0,32,180.4,89,129.4,124,166.9,124,8.4,2,1
GA,135,415,0,22,197.1,113,259.4,95,134.7,135,14.6,5,2
AZ,100,415,0,26,153.7,115,137.8,146,213.5,104,15.9,5,1
MN,96,415,0,27,261.3,96,220.9,101,179.4,97,11.3,2,1
ME,108,510,0,0,246.2,102,202.4,134,180.1,95,9.4,5,1
FL,84,510,0,0,191.0,88,318.8,119,247.3,79,6.5,4,0
WA,134,408,0,0,208.3,86,253.6,89,291.0,86,12.6,3,1
MT,72,415,0,0,253.0,73,219.3,78,210.8,89,9.8,4,0
AL,83,408,0,0,202.3,87,201.5,111,101.7,82,6.8,4,0
WV,137,408,0,0,174.4,120,156.3,98,136.5,121,10.2,5,0
GA,56,415,0,30,127.1,89,172.1,116,194.6,111,12.1,3,1
OH,61,510,1,16,143.5,76,242.6,58,147.7,95,11.3,3,0
DE,171,510,0,17,186.9,94,240.0,138,200.9,64,5.8,3,1
FL,58,510,0,0,234.8,89,106.8,131,178.5,122,9.9,6,0
AK,156,510,0,0,123.7,96,103.0,80,189.4,82,13.1,4,1
WI,166,510,0,0,173.9,103,276.4,83,190.8,113,15.3,5,0
KY,75,415,0,0,314.6,102,169.8,86,285.1,100,5.7,3,2
OH,83,510,0,0,227.9,78,207.5,115,211.7,100,12.1,5,1
UT,243,510,0,0,95.5,92,163.7,63,264.2,118,6.6,6,2
MN,150,415,0,0,146.3,133,202.7,95,234.7,103,13.1,3,1
WV,92,510,0,16,184.0,99,76.4,134,185.1,96,12.7,3,2
MN,80,415,0,0,105.8,110,43.9,88,189.6,87,13.1,5,0
AL,134,415,0,0,178.0,110,153.8,64,236.6,105,11.7,4,1
PA,77,510,0,24,149.4,74,123.9,72,174.3,84,10.1,6,1
DE,147,510,0,0,209.4,104,132.5,78,149.4,123,11.3,3,2
MO,74,415,0,0,172.1,105,211.7,99,182.2,105,11.6,6,1
IL,138,510,1,0,169.3,82,217.9,147,184.2,77,9.4,9,1
HI,64,415,0,0,194.2,147,173.4,87,268.7,114,5.5,2,2
ME,120,510,0,0,198.8,56,230.1,73,119.8,81,9.9,3,2
CO,121,408,1,0,167.7,94,93.7,121,241.3,115,13.4,1,3
NH,88,415,0,0,202.2,86,216.8,93,239.4,99,11.8,2,2
FL,104,415,0,0,76.4,116,115.6,74,226.3,94,9.4,3,3
GA,27,510,0,0,72.7,75,208.6,117,65.8,71,9.9,3,1
IL,81,415,0,31,210.4,100,225.5,97,168.7,120,9.7,4,0
NC,64,510,1,33,127.2,93,162.9,104,247.4,109,8.1,13,0
VT,107,510,0,28,201.8,79,304.9,128,225.6,133,11.9,8,1
DC,88,415,0,17,219.5,78,222.1,94,188.3,92,16.1,5,1
VT,111,408,0,0,99.3,112,270.5,136,225.3,94,9.0,6,3
NV,77,415,0,0,239.2,114,150.0,115,160.8,81,10.3,2,5
OR,67,415,1,0,120.9,58,235.0,88,95.1,130,11.4,11,2
AL,102,408,0,0,224.7,81,129.4,112,167.6,109,15.8,6,1
ND,146,408,0,19,176.6,88,162.7,66,215.5,98,14.6,6,1
NE,96,415,0,0,180.6,92,190.9,114,295.6,125,10.3,4,1
ME,149,408,0,0,237.6,79,192.4,107,207.4,111,9.1,9,0
IL,129,415,0,0,198.4,91,264.7,106,111.4,101,9.2,2,2
WA,166,408,0,0,274.3,110,52.9,109,246.1,119,10.9,5,0
KS,149,510,0,0,217.7,91,273.5,74,226.9,99,9.6,3,3
RI,70,415,0,0,134.7,96,235.9,90,260.2,113,7.6,6,3
IA,66,510,0,0,256.3,135,180.2,106,187.3,135,6.2,7,2
NV,160,415,0,0,176.2,90,196.0,115,263.9,95,9.2,4,1
WI,129,415,0,37,205.0,94,165.4,103,185.0,81,11.7,8,1
AL,93,408,0,0,267.9,114,223.0,74,262.7,90,11.3,3,3
HI,169,415,0,0,179.2,111,175.2,130,228.6,92,9.9,6,2
MO,58,415,0,0,149.4,145,196.5,105,209.5,108,14.9,3,1
MO,45,408,0,0,207.6,71,152.7,94,217.8,125,12.4,13,1
CT,155,510,0,0,165.4,108,183.7,103,80.2,108,8.9,4,3
MD,52,415,0,0,209.8,114,171.3,82,154.6,119,9.9,9,4
OH,119,415,0,27,220.1,128,268.2,133,146.5,80,11.1,3,0
NV,86,510,0,0,141.3,72,154.3,95,210.6,91,8.2,5,1
MD,42,408,0,0,196.5,89,241.3,123,143.2,105,4.0,7,0
OH,123,408,0,0,105.0,150,251.6,90,258.0,93,14.9,5,0
MA,98,510,0,0,271.4,119,190.4,102,284.7,118,11.1,6,4
OK,149,510,0,43,206.7,79,174.6,122,241.5,80,10.9,3,1
MA,160,408,0,0,166.8,109,236.0,117,307.6,77,9.3,1,1
WA,103,415,0,0,204.9,107,135.2,102,208.2,106,10.4,3,5
HI,132,415,0,15,154.6,128,245.6,106,148.6,90,9.1,4,1
CO,137,415,0,0,127.0,107,323.2,75,143.9,127,7.5,2,1
FL,129,415,1,0,267.4,78,204.2,85,111.7,146,5.9,4,1
WI,62,415,0,0,281.0,66,160.6,108,77.9,74,0.0,0,1
WY,32,408,0,0,171.2,82,185.6,102,203.3,64,10.2,7,1
GA,86,510,0,0,124.1,82,202.6,120,289.6,119,6.7,8,3
FL,130,415,0,0,162.8,113,290.3,111,114.9,140,7.2,3,1
WY,42,408,0,0,146.3,84,255.9,113,45.0,117,8.0,12,1
DE,73,415,0,0,254.8,85,143.4,80,153.9,102,15.0,7,2
ME,66,408,0,26,254.9,108,243.2,135,190.8,95,5.4,3,2
DC,103,510,0,31,107.7,124,188.9,104,196.2,98,8.9,3,0
IA,128,408,0,0,158.8,75,264.8,91,270.0,77,7.6,7,1
CO,104,415,0,0,182.9,113,239.6,85,229.8,104,5.5,4,2
MN,103,415,0,0,198.5,112,42.5,90,179.2,124,12.4,5,0
AZ,87,510,0,0,110.9,91,158.5,115,207.5,131,6.2,5,1
LA,109,415,0,27,166.9,85,221.2,92,197.3,97,12.3,4,1
ME,97,510,0,0,120.8,96,169.8,101,194.1,63,11.9,3,4
MD,106,415,0,0,165.3,118,210.0,101,187.2,93,8.5,3,2
VT,125,415,0,0,126.7,113,155.5,131,206.2,112,14.4,7,2
DC,108,408,0,35,215.9,106,200.6,107,195.4,107,15.5,7,0
WY,125,415,0,0,140.1,132,209.6,126,264.1,77,8.0,2,1
VA,72,510,1,29,139.8,114,138.2,91,221.0,88,5.5,6,0
CT,23,510,0,0,321.6,107,251.6,115,141.1,158,11.3,3,2
HI,149,510,0,0,166.6,61,218.8,107,208.3,131,8.2,6,7
WI,73,415,0,0,214.2,90,196.8,78,157.9,112,5.9,8,0
MD,61,415,0,0,260.0,123,210.5,127,234.7,70,9.0,3,1
WV,161,415,0,0,191.9,113,70.9,87,204.8,107,13.4,4,4
UT,118,415,0,24,118.1,83,109.6,72,245.5,73,16.9,2,1
CO,23,408,0,0,190.2,89,166.4,108,219.8,73,15.0,4,6
NC,127,415,0,25,82.2,95,163.3,109,264.9,104,5.1,6,0
NJ,42,415,0,32,163.8,80,177.8,123,190.4,106,8.1,5,0
AR,118,415,0,0,267.8,145,316.4,121,208.6,91,14.4,11,5
IA,45,510,0,0,159.8,91,120.4,86,163.0,93,10.6,3,2
GA,50,408,0,24,214.3,129,289.8,55,312.5,130,10.6,4,1
MO,179,510,0,0,287.3,123,288.0,114,266.0,112,10.5,4,0
MO,152,408,0,0,101.2,122,141.6,87,198.5,124,7.5,3,2
WY,105,415,0,0,102.8,74,281.7,125,228.1,113,13.2,5,2
HI,72,415,0,0,109.1,97,115.7,96,295.8,84,8.3,6,0
PA,52,408,0,0,215.9,67,217.0,108,342.8,130,5.2,2,1
TX,125,415,0,0,203.4,110,128.7,97,190.5,113,11.0,4,1
VA,143,510,0,0,110.1,113,169.0,59,166.7,94,9.2,2,1
RI,65,415,0,0,111.0,51,219.8,84,202.0,89,4.4,14,1
WI,80,415,0,0,239.9,121,142.3,51,364.3,106,9.3,5,1
NC,43,415,0,0,84.2,134,80.8,103,196.1,79,10.8,2,1
NV,143,415,0,0,209.1,127,106.1,80,179.6,90,14.0,6,0
UT,81,415,0,24,130.1,117,196.0,61,139.3,123,11.4,5,0
ME,205,510,0,24,175.8,139,155.0,98,180.7,64,7.8,5,2
HI,24,415,0,0,241.9,104,145.2,112,214.5,105,6.6,5,1
OH,74,415,0,0,136.7,106,228.6,105,265.3,114,9.8,4,0
OK,74,415,0,0,200.4,87,309.2,105,152.1,118,10.0,2,1
KY,74,510,1,0,125.8,103,207.7,96,207.4,143,14.1,4,1
AL,200,408,0,0,128.2,87,133.2,105,177.6,123,11.2,2,1
MD,86,408,0,0,226.3,88,223.0,107,255.6,92,13.0,3,4
NE,91,510,0,37,162.3,107,233.9,115,277.4,94,9.2,4,0
TX,130,415,0,0,120.5,127,189.7,52,270.1,107,14.3,2,1
OH,56,408,0,0,91.1,90,179.3,115,300.7,89,11.9,8,2
DE,117,415,0,0,168.8,137,241.4,107,204.8,106,15.5,4,0
